"Attributes which are not visible on the frontpage will not be exported by default! Please select all invisible attributes that should be exported.","Standardmäßig werden keine Attribute exportiert, die auf der Produktseite nicht sichtbar sind! Bitte wählen Sie alle unsichtbaren Attribute aus, die exportiert werden sollen."
"Force the export of properties","Erzwinge den Export folgender Eigenschaften"
"[SHOPGATE] An error occured while trying to cancel the order at Shopgate.<br />Please contact Shopgate support.", "[SHOPGATE] Beim Stornieren der Bestellung bei Shopgate ist ein Fehler aufgetreten.<br />Bitte wenden Sie sich an den Shopagte-Support."
"[SHOPGATE] Notice: Credit memo was not sent to Shopgate because no product quantity was affected.","[SHOPGATE] Hinweis: Die Gutschrift wurde nicht an Shopgate übermittelt da keine Produktmengen verändert wurden."
"[SHOPGATE] Order successfully cancelled at Shopgate.", "[SHOPGATE] Die Bestellung wurde bei Shopgate erfolgreich storniert."
